City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
bluff,0,AU,1533709116,20,-23.58,149.07,72.32,4.76
albany,20,US,1533707640,88,42.65,-73.75,73.4,2.19
bilma,20,NE,1533709343,63,18.69,12.92,79.79,7.34
kapaa,75,US,1533707760,83,22.08,-159.32,80.6,18.34
yellowknife,75,CA,1533708000,77,62.45,-114.38,59.0,4.7
chokurdakh,0,RU,1533709344,78,70.62,147.9,49.37,10.58
belaya gora,56,RU,1533709344,58,68.54,146.19,56.84,9.01
uruzgan,0,AF,1533709345,40,32.93,66.63,74.12,1.07
flores,24,GT,1533709345,88,16.93,-89.89,73.49,3.31
hilo,75,US,1533707760,74,19.71,-155.08,78.8,10.29
butaritari,56,KI,1533709346,100,3.07,172.79,84.29,5.73
geraldton,5,CA,1533708000,93,49.72,-86.95,53.6,5.82
komsomolskiy,92,RU,1533709346,99,67.55,63.78,52.61,14.38
awbari,32,LY,1533709347,25,26.59,12.77,86.63,7.11
hamilton,75,BM,1533707700,83,32.3,-64.78,78.8,9.17
ancud,64,CL,1533709347,96,-41.87,-73.83,42.08,5.77
avarua,90,CK,1533708000,94,-21.21,-159.78,69.8,11.41
goderich,80,CA,1533709348,94,43.74,-81.71,65.12,4.76
upernavik,92,GL,1533709348,86,72.79,-56.15,42.8,7.23
inhambane,64,MZ,1533709348,95,-23.87,35.38,74.21,16.46
gawler,75,AU,1533708000,67,-34.6,138.75,57.2,11.41
punta arenas,0,CL,1533704400,80,-53.16,-70.91,35.6,11.41
merced,1,US,1533707580,53,37.3,-120.48,78.8,5.82
hearst,0,CA,1533709350,85,49.69,-83.67,54.77,5.5
cervo,0,BR,1533709350,86,-22.19,-46.24,45.23,2.82
katsuura,40,JP,1533707460,38,33.93,134.5,93.2,16.11
college,90,US,1533707880,71,64.86,-147.8,55.4,4.7
haines junction,100,CA,1533709351,63,60.75,-137.51,51.17,8.41
koltubanovskiy,36,RU,1533709351,46,52.94,52.03,82.04,8.86
walvis bay,0,NA,1533709352,100,-22.95,14.51,54.59,13.56
salalah,90,OM,1533703800,94,17.01,54.1,77.0,5.82
hasaki,75,JP,1533707040,94,35.73,140.83,78.8,21.92
hithadhoo,44,MV,1533709353,100,-0.6,73.08,78.8,1.48
sao miguel do araguaia,0,BR,1533709354,87,-13.28,-50.16,68.9,2.53
puerto escondido,0,MX,1533709354,100,15.86,-97.07,86.45,7.34
gigmoto,100,PH,1533709354,98,13.78,124.39,83.12,14.83
nanakuli,90,US,1533707820,73,21.39,-158.15,80.6,9.17
port alfred,64,ZA,1533709355,97,-33.59,26.89,55.13,18.41
surt,24,LY,1533709355,81,31.21,16.59,84.02,12.15
flinders,0,AU,1533708000,65,-34.58,150.85,60.8,19.46
lishan,92,CN,1533709356,100,24.07,102.75,65.48,2.26
cape town,0,ZA,1533708000,93,-33.93,18.42,39.2,2.24
egvekinot,88,RU,1533709356,77,66.32,-179.17,50.09,2.98
ugoofaaru,36,MV,1533709357,100,5.67,73.0,80.6,17.81
norman wells,75,CA,1533708000,87,65.28,-126.83,57.2,4.7
airai,92,TL,1533709358,59,-8.93,125.41,78.8,1.97
los llanos de aridane,75,ES,1533708000,73,28.66,-17.92,73.4,14.99
sao paulo de olivenca,0,BR,1533709358,95,-3.38,-68.87,72.14,2.26
saint-philippe,20,CA,1533708000,94,45.36,-73.48,71.6,2.24
lagoa,0,PT,1533708000,68,37.14,-8.45,66.2,9.75
herat,0,AF,1533704100,22,34.35,62.22,87.8,23.04
puerto ayora,20,EC,1533709360,100,-0.74,-90.35,69.44,10.36
xinyu,64,CN,1533709360,72,27.8,114.93,93.38,3.98
saskylakh,0,RU,1533709360,71,71.97,114.09,67.46,6.89
nieuw amsterdam,20,SR,1533708000,94,5.88,-55.08,75.2,3.36
gravdal,0,NO,1533707400,77,59.79,5.78,66.2,11.41
tuktoyaktuk,90,CA,1533704400,100,69.44,-133.03,41.0,18.34
blagodatnoye,20,RU,1533706200,72,51.57,35.54,64.4,8.95
lazaro cardenas,64,MX,1533709362,39,28.39,-105.62,75.47,7.0
jamestown,44,AU,1533709117,71,-33.21,138.6,55.13,11.88
chuy,8,UY,1533709264,86,-33.69,-53.46,53.51,16.4
mataura,12,NZ,1533709363,90,-46.19,168.86,44.69,4.61
clyde river,1,CA,1533708000,86,70.47,-68.59,37.4,6.93
nunkini,44,MX,1533709364,83,20.4,-90.15,78.44,5.1
falun,8,SE,1533707400,88,60.61,15.63,64.4,6.93
balagtas,75,PH,1533704400,62,14.82,120.91,87.8,14.99
japura,92,ID,1533709365,90,-0.42,102.29,78.44,2.71
naze,40,NG,1533704400,100,5.43,7.07,71.6,6.06
sibolga,64,ID,1533709366,74,1.74,98.78,80.42,3.04
kaitangata,0,NZ,1533709366,90,-46.28,169.85,45.59,2.3
fiche,92,ET,1533709366,100,9.77,38.74,54.32,3.87
saint-joseph,0,FR,1533708000,73,43.56,6.97,78.8,5.82
cidreira,0,BR,1533709367,96,-30.17,-50.22,54.23,11.92
aykhal,68,RU,1533709368,70,65.95,111.51,61.07,6.55
najran,0,SA,1533704400,19,17.54,44.22,91.4,9.17
la asuncion,68,EC,1533709369,92,-1.64,-78.74,44.6,3.04
mahebourg,40,MU,1533708000,47,-20.41,57.7,77.0,8.05
chernyshevskiy,24,RU,1533709369,49,63.01,112.47,62.24,5.61
faanui,92,PF,1533709370,100,-16.48,-151.75,77.45,16.91
la ronge,40,CA,1533708000,93,55.1,-105.3,57.2,2.24
itoman,75,JP,1533707160,83,26.12,127.67,87.8,10.29
saint anthony,1,US,1533707760,55,43.97,-111.68,60.8,5.82
shasta lake,90,US,1533707700,44,40.68,-122.36,78.8,3.36
perth,0,GB,1533707400,87,56.4,-3.43,53.6,4.7
charters towers,0,AU,1533709371,60,-20.07,146.27,67.73,5.39
luanda,75,AO,1533704400,83,-8.83,13.24,69.8,2.24
namatanai,64,PG,1533709372,100,-3.66,152.44,81.59,8.08
saint-pierre,90,FR,1533708000,88,48.95,4.24,68.0,14.99
kirakira,76,SB,1533709373,100,-10.46,161.92,79.52,15.17
karratha,0,AU,1533709373,9,-20.74,116.85,84.02,13.33
cali,75,CO,1533708000,88,3.43,-76.51,71.6,5.82
samarai,32,PG,1533709374,100,-10.62,150.67,77.45,9.64
port elizabeth,1,US,1533707760,94,39.31,-74.98,77.0,11.36
goalpara,36,IN,1533709375,88,26.18,90.62,85.64,5.5
berlevag,75,NO,1533707400,76,70.86,29.09,50.0,25.28
arinos,32,BR,1533709375,68,-15.92,-46.11,70.97,10.02
tiksi,0,RU,1533709376,68,71.64,128.87,61.25,12.88
medea,0,DZ,1533708000,77,36.27,2.77,69.8,2.24
bethel,90,US,1533707580,81,60.79,-161.76,51.8,16.11
cherskiy,0,RU,1533709377,62,68.75,161.3,48.65,7.9
batagay-alyta,0,RU,1533709377,45,67.8,130.41,66.92,4.09
moultonborough,40,US,1533707760,100,43.76,-71.4,71.6,3.36
celestun,24,MX,1533709183,100,20.87,-90.4,82.85,15.68
guanica,0,PR,1533709379,100,17.97,-66.91,77.63,7.85
lerwick,20,GB,1533707400,93,60.15,-1.15,55.4,1.12
esperance,20,TT,1533708000,94,10.24,-61.45,77.0,5.73
garden city,1,US,1533707760,94,40.73,-73.63,80.6,8.05
huarmey,8,PE,1533709380,87,-10.07,-78.15,50.45,3.09
maniitsoq,92,GL,1533709380,99,65.42,-52.9,43.7,18.3
miram shah,88,PK,1533709381,90,33.01,70.07,75.11,3.87
ponta do sol,32,BR,1533709381,81,-20.63,-46.0,53.96,2.75
ketchikan,90,US,1533707580,68,55.34,-131.65,66.2,5.82
sola,75,NO,1533707400,72,58.89,5.65,66.2,14.99
lorengau,32,PG,1533709382,100,-2.02,147.27,83.21,2.86
sucila,8,MX,1533709383,89,21.15,-88.32,75.65,3.76
rongcheng,48,CN,1533709383,94,37.16,122.42,87.26,4.54
neiafu,40,TO,1533708000,73,-18.65,-173.98,71.6,10.92
sisimiut,100,GL,1533709384,92,66.94,-53.67,47.57,1.52
capitao poco,8,BR,1533709384,87,-1.75,-47.06,74.39,7.29
rio pomba,92,BR,1533709384,100,-21.28,-43.18,58.37,3.83
sakaiminato,75,JP,1533704400,48,35.55,133.23,84.2,9.17
beaufort,75,MY,1533708000,74,5.36,115.76,89.6,5.82
yarmouth,75,GB,1533707400,87,50.71,-1.5,57.2,2.24
camopi,24,GF,1533709386,90,3.17,-52.33,74.39,2.08
bowen,0,AU,1533704400,27,-20.01,148.25,73.4,14.99
salaga,36,GH,1533709387,86,8.55,-0.52,75.02,9.24
mairi,20,BR,1533709387,94,-11.71,-40.15,67.46,4.61
mackay,1,CA,1533708000,87,53.65,-115.58,57.2,2.24
severo-kurilsk,48,RU,1533709388,89,50.68,156.12,56.21,4.27
rawson,0,AR,1533709389,94,-43.3,-65.11,31.28,7.29
zambezi,0,ZM,1533709389,41,-13.55,23.12,60.08,8.52
aranos,0,NA,1533709390,37,-24.14,19.11,42.8,1.25
benguela,92,AO,1533709390,98,-12.58,13.4,66.74,4.99
rivers,90,CA,1533708000,77,50.03,-100.23,64.4,6.93
broome,75,GB,1533707760,77,52.47,1.45,62.6,6.93
koslan,20,RU,1533709391,77,63.46,48.9,53.33,6.11
cabedelo,40,BR,1533704400,88,-6.97,-34.84,71.6,4.7
lukang,75,TW,1533707100,74,24.06,120.44,86.0,17.22
olinda,20,EC,1533708000,83,-2.03,-79.75,69.8,10.29
abnub,0,EG,1533704400,61,27.27,31.15,78.8,13.87
zhangye,48,CN,1533709393,75,38.94,100.46,77.99,4.83
thinadhoo,68,MV,1533709394,100,0.53,72.93,82.58,9.42
sur,8,OM,1533709394,80,22.57,59.53,88.61,2.37
bouna,92,CI,1533709395,84,9.27,-3.0,72.5,10.65
kabo,92,CF,1533709395,100,7.69,18.62,70.25,7.34
havoysund,75,NO,1533707400,76,71.0,24.66,50.0,19.46
ushtobe,0,KZ,1533709396,27,45.25,77.98,93.11,5.21
hermon,88,GB,1533703800,77,51.96,-4.61,59.0,12.75
zeerust,0,ZA,1533708000,42,-25.54,26.07,46.4,9.17
mogadishu,100,SO,1533709397,99,2.04,45.34,76.91,16.96
grindavik,40,IS,1533706200,81,63.84,-22.43,46.4,19.46
klaksvik,48,FO,1533707400,100,62.23,-6.59,50.0,8.05
saint-ambroise,75,FR,1533708000,82,47.25,-0.65,64.4,1.12
tenenkou,68,ML,1533709399,100,14.46,-4.91,72.86,4.61
luderitz,8,NA,1533709399,82,-26.65,15.16,50.81,20.65
sunland park,40,US,1533707460,22,31.8,-106.58,87.8,6.93
priiskovyy,0,RU,1533709400,86,51.93,116.63,71.33,4.27
port blair,80,IN,1533709400,100,11.67,92.75,81.32,20.54
yumen,0,CN,1533709400,40,40.29,97.04,83.75,12.44
abha,0,SA,1533704400,47,18.22,42.5,75.2,2.48
eureka,90,US,1533708000,100,40.8,-124.16,55.4,4.05
torbay,75,CA,1533708000,93,47.66,-52.73,62.6,6.93
isangel,0,VU,1533709402,100,-19.55,169.27,72.77,10.54
waddan,8,LY,1533709402,38,29.16,16.14,85.82,5.32
camocim,0,BR,1533709402,89,-2.9,-40.84,74.93,12.66
ahipara,64,NZ,1533709403,100,-35.17,173.16,55.94,13.44
minot,1,US,1533707640,49,48.23,-101.3,71.6,9.17
buique,0,BR,1533709403,96,-8.62,-37.16,60.62,5.73
fairbanks,90,US,1533707880,71,64.84,-147.72,55.4,4.7
anloga,40,GH,1533708000,83,5.79,0.9,75.2,6.93
leningradskiy,92,RU,1533709404,100,69.38,178.42,33.44,20.09
necochea,92,AR,1533709404,98,-38.55,-58.74,52.97,9.57
sitka,24,US,1533709405,79,37.17,-99.65,72.59,3.38
cabinda,75,AO,1533708000,88,-5.56,12.19,69.8,4.05
saint-francois,90,FR,1533708000,82,46.42,3.91,66.2,3.36
lom sak,40,TH,1533704400,74,16.78,101.24,86.0,3.36
ardakan,0,IR,1533704400,25,32.31,54.02,89.6,9.17
morada nova,0,BR,1533709407,64,-5.1,-38.37,75.74,8.34
visby,0,SE,1533707400,78,57.64,18.3,71.6,10.29
levice,0,SK,1533708000,77,48.22,18.6,66.2,7.34
fortuna,20,ES,1533708000,83,38.18,-1.13,78.8,2.24
okato,92,NZ,1533709408,100,-39.19,173.88,53.96,28.21
aklavik,90,CA,1533708420,93,68.22,-135.01,42.8,10.29
nemuro,75,JP,1533704400,93,43.32,145.57,57.2,10.29
kaeo,100,NZ,1533709409,97,-35.1,173.78,55.22,16.13
bullhead city,1,US,1533707760,20,35.15,-114.57,105.8,14.99
comodoro rivadavia,0,AR,1533704400,56,-45.87,-67.48,41.0,10.29
sawtell,0,AU,1533708000,45,-30.38,153.1,66.2,17.22
kieta,64,PG,1533709411,87,-6.22,155.63,81.86,5.5
norton,0,ZW,1533709412,56,-17.87,30.7,65.75,11.92
cabo san lucas,40,MX,1533703380,78,22.89,-109.91,77.0,5.82
belmonte,0,PT,1533709412,86,40.36,-7.35,56.39,4.27
aran,0,CH,1533707400,82,46.5,6.71,75.2,1.12
pevek,64,RU,1533709413,100,69.7,170.27,36.05,14.34
hambantota,20,LK,1533709413,92,6.12,81.12,81.41,18.19
kahului,20,US,1533707760,74,20.89,-156.47,78.8,12.75
sarakhs,0,TM,1533704400,31,36.54,61.16,89.6,13.87
bambous virieux,40,MU,1533708000,47,-20.34,57.76,77.0,8.05
nanortalik,92,GL,1533709415,98,60.14,-45.24,42.35,12.93
dikson,88,RU,1533709415,81,73.51,80.55,49.64,20.54
petropavlovsk-kamchatskiy,90,RU,1533706200,87,53.05,158.65,60.8,11.18
parabel,48,RU,1533709416,71,58.71,81.5,64.94,6.22
yushan,40,CN,1533704400,53,31.68,118.49,95.0,4.47
aberfoyle,75,GB,1533707400,82,56.18,-4.38,55.4,5.82
mount gambier,64,AU,1533709417,80,-37.83,140.78,52.43,7.07
dunedin,0,NZ,1533709330,95,-45.87,170.5,42.89,3.04
waingapu,8,ID,1533709418,53,-9.65,120.26,85.91,12.66
sampit,12,ID,1533709418,64,-2.54,112.95,90.32,10.42
darnah,0,LY,1533709418,99,32.77,22.64,80.42,5.73
puerto leguizamo,68,CO,1533709419,98,-0.19,-74.78,71.15,2.53
pitkyaranta,0,RU,1533709274,64,61.57,31.48,64.85,4.76
tilichiki,100,RU,1533709419,82,60.47,166.1,58.37,6.22
nouadhibou,75,MR,1533708000,94,20.93,-17.03,68.0,6.89
pueblo,1,US,1533708240,77,38.25,-104.61,69.8,8.05
otradnoye,0,RU,1533706200,72,59.77,30.8,66.2,4.47
imeni poliny osipenko,24,RU,1533709421,58,52.42,136.49,77.45,3.83
doha,0,QA,1533704400,47,25.29,51.53,100.4,12.75
cooma,0,AU,1533709421,57,-36.24,149.13,48.65,13.44
alta,75,NO,1533707820,62,69.97,23.27,55.4,9.17
koudougou,88,BF,1533709422,98,12.25,-2.37,69.44,10.36
bestobe,0,KZ,1533709423,60,52.5,73.1,82.67,5.06
smithers,1,CA,1533708000,59,54.78,-127.17,64.4,2.24
vanavara,0,RU,1533709423,57,60.35,102.28,61.34,3.71
kruisfontein,32,ZA,1533709424,86,-34.0,24.73,54.68,17.58
vestmannaeyjar,12,IS,1533709424,88,63.44,-20.27,48.83,19.08
maceio,0,BR,1533708000,88,-9.67,-35.74,68.0,4.7
hobyo,0,SO,1533709425,66,5.35,48.53,81.14,18.59
lebu,75,ET,1533704400,77,8.96,38.73,60.8,2.24
moron,20,VE,1533708000,94,10.49,-68.2,73.4,2.82
kachiry,0,KZ,1533709425,40,53.07,76.1,78.71,5.21
wojkowice,0,PL,1533708000,64,50.37,19.04,71.6,5.82
syracuse,90,US,1533707760,100,43.05,-76.15,69.8,2.3
pacifica,90,US,1533708000,100,37.61,-122.49,64.4,6.93
that phanom,75,TH,1533704400,70,16.94,104.73,89.6,2.24
maningrida,0,AU,1533709427,43,-12.05,134.23,86.99,16.69
praya,40,ID,1533708000,55,-8.71,116.27,87.8,12.75
victoria,75,BN,1533708000,74,5.28,115.24,89.6,5.82
chesma,24,RU,1533709367,56,53.81,60.65,77.99,4.83
mamakan,80,RU,1533709428,85,57.82,114.02,54.68,2.98
south sioux city,1,US,1533708900,100,42.47,-96.41,66.2,3.36
iqaluit,75,CA,1533708000,93,63.75,-68.52,39.2,8.75
longyearbyen,20,NO,1533707400,70,78.22,15.63,46.4,2.24
port hardy,5,CA,1533708000,87,50.7,-127.42,55.4,4.7
blieskastel,75,DE,1533707760,72,49.24,7.26,71.6,5.82
severnoye,32,RU,1533709430,43,54.09,52.54,79.61,4.21
kuruman,0,ZA,1533709431,62,-27.46,23.43,27.95,3.31
baglan,40,GB,1533707400,77,51.62,-3.81,59.0,9.17
baykit,8,RU,1533709431,71,61.68,96.39,58.19,3.83
mulege,20,MX,1533709432,76,26.88,-111.98,78.98,3.09
laramie,1,US,1533707880,55,41.31,-105.59,60.8,11.41
coquimbo,0,CL,1533704400,76,-29.95,-71.34,50.0,4.7
bahia blanca,92,AR,1533709432,95,-38.72,-62.27,46.49,23.4
port augusta,75,AU,1533708000,63,-32.49,137.76,60.8,9.17
tiquisate,32,GT,1533709433,86,14.29,-91.37,67.82,2.71
alta floresta,0,BR,1533709433,63,-9.87,-56.08,75.56,3.38
rundu,0,NA,1533709434,45,-17.91,19.77,60.62,4.76
ternate,75,PH,1533704400,62,14.29,120.72,87.8,14.99
kawambwa,0,ZM,1533709434,51,-9.8,29.07,63.5,3.04
cap malheureux,40,MU,1533708000,47,-19.98,57.61,77.0,8.05
souillac,90,FR,1533708000,82,45.6,-0.6,66.2,5.82
lompoc,90,US,1533707880,93,34.64,-120.46,57.2,4.7
provideniya,90,RU,1533706200,81,64.42,-173.23,51.8,6.71
ballina,40,IE,1533708000,93,54.11,-9.15,50.0,6.93
markivka,0,UA,1533709436,80,49.52,39.57,70.16,8.57
lata,64,IN,1533709437,94,30.78,78.62,67.73,1.97
esmeralda,0,CL,1533709437,81,-34.33,-70.9,26.15,1.97
portland,75,US,1533707760,44,45.52,-122.67,80.6,5.82
oktyabrskiy,40,RU,1533706200,72,55.61,37.97,60.8,13.42
pingdingshan,8,CN,1533709438,66,33.74,113.3,97.16,4.76
bitam,88,GA,1533709439,98,2.08,11.49,69.71,2.53
sao filipe,92,CV,1533709439,100,14.9,-24.5,74.66,8.3
agucadoura,40,PT,1533708000,93,41.43,-8.78,59.0,14.05
casas grandes,48,MX,1533709440,80,30.15,-110.24,71.96,1.97
filingue,8,NE,1533709440,97,14.35,3.32,70.79,6.85
pontes e lacerda,0,BR,1533709440,86,-15.23,-59.33,65.39,2.59
balikpapan,40,ID,1533708000,79,-1.24,116.86,86.0,8.05
bonavista,36,CA,1533709441,89,48.65,-53.11,62.87,11.03
sao felix do xingu,0,BR,1533709441,66,-6.64,-51.99,78.53,2.19
gizo,40,IL,1533707400,62,31.8,34.94,84.2,5.82
honningsvag,75,NO,1533707400,76,70.98,25.97,50.0,24.16
harper,1,US,1533707700,61,30.3,-99.24,82.4,11.65
coffs harbour,0,AU,1533708000,45,-30.3,153.13,66.2,17.22
ulaangom,92,MN,1533709443,99,49.98,92.07,56.21,2.86
pacific grove,90,US,1533708660,93,36.62,-121.92,60.8,4.7
banda aceh,64,ID,1533709444,67,5.56,95.32,84.83,7.11
avera,1,US,1533707700,94,33.19,-82.53,73.4,5.88
kyzyl-mazhalyk,48,RU,1533709445,79,51.15,90.58,66.29,3.6
artyom,75,RU,1533706200,88,43.36,132.19,69.8,6.71
anda,32,CN,1533709445,77,46.41,125.33,81.68,4.88
biltine,80,TD,1533709446,99,14.53,20.93,69.71,6.33
cayenne,75,GF,1533708000,100,4.94,-52.33,73.4,7.07
zhezkazgan,0,KZ,1533706200,28,47.8,67.71,86.0,13.42
sorong,36,ID,1533709447,100,-0.86,131.25,82.13,7.34
sydney,0,AU,1533708000,66,-33.85,151.22,68.0,18.34
aksu,0,KZ,1533706200,41,52.04,76.93,78.8,2.24
santa fe,0,AR,1533709448,61,-31.62,-60.7,53.06,15.61
mumford,56,GH,1533709449,90,5.26,-0.76,73.76,8.3
rorvik,0,NO,1533707400,64,64.86,11.24,68.0,5.82
boyolangu,12,ID,1533709449,42,-8.09,111.9,90.14,5.1
isabela,92,PH,1533709450,79,10.2,122.99,81.41,9.35
natal,20,BR,1533704400,73,-5.81,-35.21,77.0,5.82
majene,20,ID,1533709450,84,-3.54,118.97,86.0,21.16
margate,40,AU,1533708000,46,-43.03,147.26,53.6,10.29
el alto,0,BO,1533708000,86,-16.5,-68.19,30.2,2.24
nishihara,75,JP,1533706920,94,35.74,139.53,77.0,12.75
henties bay,0,NA,1533709452,100,-22.12,14.28,49.91,7.85
nabire,68,ID,1533709452,89,-3.36,135.5,74.84,1.97
palmer,75,AU,1533708000,67,-34.85,139.16,57.2,11.41
shingu,40,JP,1533705960,55,33.72,135.99,89.6,18.34
vermillion,1,US,1533708900,100,42.78,-96.93,69.8,3.36
waslala,80,NI,1533709454,95,13.33,-85.37,73.94,3.27
georgetown,0,GY,1533704400,100,6.8,-58.16,75.2,2.24
gallup,1,US,1533707580,31,35.53,-108.74,73.4,12.75
boca do acre,12,BR,1533709455,94,-8.76,-67.39,71.24,2.59
arteaga,5,MX,1533706800,49,25.45,-100.85,71.6,2.04
kimbe,32,PG,1533709456,100,-5.56,150.15,80.33,4.88
laguna,64,MX,1533709456,80,27.52,-110.01,80.51,0.25
hadrut,44,AZ,1533709456,44,39.52,47.03,77.0,2.82
fortuna foothills,20,US,1533707820,55,32.66,-114.41,91.4,31.09
mecca,0,SA,1533709385,60,21.43,39.83,88.79,4.21
vardo,1,US,1533707940,94,39.62,-77.74,73.4,3.36
matoury,75,GF,1533708000,100,4.85,-52.33,73.4,7.07
shitkino,0,RU,1533709458,50,56.37,98.35,69.44,4.38
watertown,1,US,1533708900,88,44.9,-97.12,73.4,11.41
nyurba,48,RU,1533709458,63,63.29,118.35,68.72,6.33
hovd,0,NO,1533707400,60,63.83,10.7,69.8,4.7
kodinsk,0,RU,1533709213,49,58.6,99.18,66.11,3.38
havelock,1,US,1533704280,100,34.88,-76.9,80.6,8.05
trelew,0,AR,1533709459,94,-43.25,-65.31,31.28,7.29
altona,1,US,1533708900,100,41.11,-90.16,71.6,2.86
puerto narino,0,CO,1533708000,100,-3.77,-70.38,69.8,2.3
port hedland,0,AU,1533708000,27,-20.31,118.58,78.8,17.22
tazovskiy,92,RU,1533709461,76,67.47,78.7,59.36,22.39
tuatapere,36,NZ,1533709461,100,-46.13,167.69,48.56,7.07
touros,92,BR,1533709212,90,-5.2,-35.46,75.11,11.59
east islip,75,US,1533707760,94,40.73,-73.19,80.6,6.93
zhuhai,20,CN,1533704400,37,40.71,112.04,86.0,2.24
vytegra,8,RU,1533709462,100,61.01,36.45,60.26,8.41
richards bay,0,ZA,1533709462,65,-28.77,32.06,57.11,14.38
westport,40,IE,1533708000,93,53.8,-9.52,50.0,6.93
kemin,20,KG,1533709463,35,42.79,75.7,75.74,2.48
marathon,0,CA,1533709292,94,48.72,-86.38,52.79,8.23
talnakh,80,RU,1533709464,64,69.49,88.39,55.4,14.45
hellvik,0,NO,1533703800,68,59.92,5.78,66.2,4.7
adwa,92,ET,1533709464,93,14.16,38.9,64.85,3.49
tura,64,IN,1533709465,99,25.52,90.21,82.22,2.71
osa,100,RU,1533709465,99,57.28,55.46,62.24,2.19
taupo,92,NZ,1533709465,97,-38.68,176.08,50.81,7.23
iracoubo,68,GF,1533709466,82,5.48,-53.21,77.54,4.5
abapo,0,BO,1533709466,68,-18.83,-63.47,63.77,2.48
pavilosta,0,LV,1533707400,77,56.89,21.19,69.8,4.7
sanandaj,0,IR,1533704400,23,35.31,47.0,82.4,3.27
homa bay,0,KE,1533709467,88,-0.53,34.45,70.43,4.27
arona,0,IT,1533707700,69,45.76,8.56,75.2,6.93
sabang,92,PH,1533709468,85,13.72,123.58,83.75,15.79
praia da vitoria,40,PT,1533708000,83,38.73,-27.07,69.8,9.86
helena,1,US,1533707580,30,46.59,-112.04,69.8,3.36
